Frame,Landmark,X,Y,Z
1,0,0.4683483839035034,0.24114501476287842,-0.21143217384815216
1,1,0.4766160249710083,0.22653092443943024,-0.19412456452846527
1,2,0.4818480908870697,0.22527246177196503,-0.19426211714744568
1,3,0.4880375266075134,0.2237502783536911,-0.19450366497039795
1,4,0.46793925762176514,0.22844068706035614,-0.17249783873558044
1,5,0.4664759933948517,0.22868092358112335,-0.17246757447719574
1,6,0.46506521105766296,0.22883649170398712,-0.17237794399261475
1,7,0.5244216918945312,0.2232738435268402,-0.06531722098588943
1,8,0.4881104528903961,0.2305700033903122,0.03207288682460785
1,9,0.4837058186531067,0.25022605061531067,-0.16238678991794586
1,10,0.4725285768508911,0.253065824508667,-0.13300979137420654
1,11,0.6341990828514099,0.29000601172447205,0.09263783693313599
1,12,0.4658817648887634,0.3108016550540924,0.09373648464679718
1,13,0.718439519405365,0.35795849561691284,0.06718259304761887
1,14,0.3817940950393677,0.38767144083976746,0.09511321038007736
1,15,0.7979772090911865,0.2999963164329529,-0.2289959043264389
1,16,0.28519585728645325,0.33486905694007874,-0.13658855855464935
1,17,0.8326035141944885,0.28746795654296875,-0.27387377619743347
1,18,0.25031933188438416,0.32924479246139526,-0.19239872694015503
1,19,0.8295987844467163,0.2798033356666565,-0.32905980944633484
1,20,0.24852398037910461,0.3213295340538025,-0.2064618319272995
1,21,0.8164305686950684,0.28209924697875977,-0.26040470600128174
1,22,0.260628879070282,0.32243120670318604,-0.15194620192050934
1,23,0.6314460039138794,0.4668920636177063,0.04644092172384262
1,24,0.537947952747345,0.462956041097641,-0.04623404145240784
1,25,0.6896340250968933,0.5734193325042725,-0.061589937657117844
1,26,0.41648805141448975,0.5760147571563721,-0.17598330974578857
1,27,0.6182680130004883,0.6140697002410889,0.43037721514701843
1,28,0.21659713983535767,0.5470377206802368,0.03382767364382744
1,29,0.6010676026344299,0.6129055023193359,0.47923213243484497
1,30,0.2050677239894867,0.5339662432670593,0.05902213603258133
1,31,0.625581681728363,0.6427266597747803,0.43697401881217957
1,32,0.1216362714767456,0.5635461807250977,-0.004530246369540691
